CUS 0001,Abyasa Najmudin
CUS 1352,Gading Namaga
CUS 1353,"Gading Pratiwi, S.Farm"
CUS 1354,"Gading Samosir, S.Gz"
CUS 1355,Gading Wahyuni
CUS 1356,Gaduh Rahmawati
CUS 1357,Gaiman Rajata
CUS 1358,Gaiman Sitorus
CUS 1359,Galak Aryani
CUS 1360,Galak Dabukke
CUS 1361,"Galak Kuswoyo, M.M."
CUS 1362,Galak Nugroho
CUS 1363,Galak Usamah
CUS 1364,Galar Nasyiah
CUS 1365,Galar Wastuti
CUS 1366,Galar Winarno
CUS 1367,Galih Maheswara
CUS 1368,Galih Mulyani
CUS 1369,Galih Pradipta
CUS 1370,Galih Pratiwi
CUS 1371,"Galih Saputra, M.TI."
CUS 1372,Galih Uyainah
CUS 1373,Galih Wahyudin
CUS 1374,Galih Yulianti
CUS 1375,Galiono Uyainah
CUS 1376,Galiono Yuliarti
CUS 1377,Galuh Halimah
CUS 1378,Galuh Handayani
CUS 1379,Galuh Nashiruddin
CUS 1380,Galuh Oktaviani
CUS 1381,Galuh Prasasta
CUS 1382,Galuh Samosir
CUS 1383,Galuh Siregar
CUS 1384,Galuh Wijaya
CUS 1385,Galur Hutagalung
CUS 1386,Galur Latupono
CUS 1387,Galur Namaga
CUS 1388,Gaman Hartati
CUS 1389,Gaman Megantara
CUS 1390,Gaman Oktaviani
CUS 1391,Gamani Nuraini
CUS 1392,"Gamani Prasetya, S.E.I"
CUS 1393,Gamanto Hutapea
CUS 1394,Gamanto Mayasari
CUS 1395,"Gamanto Pranowo, M.Pd"
CUS 1396,Gamanto Puspasari
CUS 1397,"Gamanto Sihombing, M.TI."
CUS 1398,Gambira Adriansyah
CUS 1399,"Gambira Budiman, M.Kom."
CUS 1400,Gambira Prasasta
CUS 1401,Gamblang Nurdiyanti
CUS 1402,Gamblang Riyanti
CUS 1403,Ganda Habibi
CUS 1404,Gandewa Kuswoyo
CUS 1405,"Gandewa Lazuardi, S.Kom"
CUS 1406,Gandewa Marbun
CUS 1407,Gandewa Pratama
CUS 1408,Gandewa Suryono
CUS 1409,Gandewa Wijayanti
CUS 1410,Gandi Nashiruddin
CUS 1411,Gandi Oktaviani
CUS 1412,"Gandi Palastri, S.T."
CUS 1413,Gandi Riyanti
CUS 1414,"Gandi Santoso, S.Pt"
CUS 1415,Gandi Saputra
CUS 1416,Ganep Budiman
CUS 1417,Ganep Halim
CUS 1418,"Ganep Nasyidah, S.Pt"
CUS 1419,"Gangsa Yuliarti, S.T."
CUS 1420,Gangsa Yuniar
CUS 1421,"Gangsar Lazuardi, M.TI."
CUS 1422,Gangsar Maulana
CUS 1423,Gangsar Nasyidah
CUS 1424,Gangsar Simbolon
CUS 1425,Ganjaran Prasetya
CUS 1426,Ganjaran Rahmawati
CUS 1427,Ganjaran Tamba
CUS 1428,Ganjaran Utami
CUS 1429,Gantar Dongoran
CUS 1430,Gantar Utama
CUS 1431,Gara Haryanti
CUS 1432,Gara Siregar
CUS 1433,Gara Thamrin
CUS 1434,Garan Farida
CUS 1435,Garang Hastuti
CUS 1436,Garang Hutapea
CUS 1437,Garang Nashiruddin
CUS 1438,Garang Pudjiastuti
CUS 1439,Garang Saragih
CUS 1440,Garda Marpaung
CUS 1441,Garda Nuraini
CUS 1442,Garda Sirait
CUS 1443,Garda Susanti
CUS 1444,Gasti Andriani
CUS 1445,Gasti Gunarto
CUS 1446,Gasti Haryanto
CUS 1447,"Gasti Hidayanto, S.Gz"
CUS 1448,"Gasti Megantara, S.Gz"
CUS 1449,Gasti Melani
CUS 1450,Gasti Nashiruddin
CUS 1451,Gasti Permata
CUS 1452,Gasti Prasetyo
CUS 1453,Gasti Pudjiastuti
CUS 1454,Gasti Santoso
CUS 1455,"Gasti Simbolon, S.Farm"
CUS 1456,Gasti Situmorang
CUS 1457,Gatot Pertiwi
CUS 1458,"Gatot Uwais, S.Gz"
CUS 1459,Gatot Zulaika
CUS 1460,Gatra Budiyanto
CUS 1461,Gatra Lestari
CUS 1462,Gatra Winarno
CUS 1463,Gawati Astuti
CUS 1464,Gawati Iswahyudi
CUS 1465,"Gawati Pangestu, S.Ked"
CUS 1466,Gawati Samosir
CUS 1467,Genta Kusumo
CUS 1468,Genta Permadi
CUS 1469,Genta Purnawati
CUS 1470,Genta Waluyo
CUS 1471,Ghaliyati Andriani
CUS 1472,Ghaliyati Halim
CUS 1473,Ghani Situmorang
CUS 1474,Gilang Novitasari
CUS 1475,Gilda Agustina
CUS 1476,Gilda Budiyanto
CUS 1477,Gilda Dongoran
CUS 1478,Gilda Narpati
CUS 1479,Gilda Wulandari
CUS 1480,"Gina Kuswandari, S.H."
CUS 1481,"Gina Puspita, S.Pd"
CUS 1482,"Gina Ramadan, S.T."
CUS 1483,Gina Waluyo
CUS 1484,H. Aditya Jailani
CUS 1485,H. Agus Pratama
CUS 1486,H. Anggabaya Nababan
CUS 1487,"H. Asirwanda Rajasa, S.H."
CUS 1488,"H. Asmadi Saefullah, S.Psi"
CUS 1489,H. Atma Nababan
CUS 1490,"H. Bagus Hassanah, S.H."
CUS 1491,H. Bakiadi Natsir
CUS 1492,H. Bambang Susanti
CUS 1493,"H. Banawa Putra, M.Kom."
CUS 1494,H. Caturangga Santoso
CUS 1495,"H. Cemplunk Usada, M.Pd"
CUS 1496,H. Damar Rahimah
CUS 1497,H. Darijan Ardianto
CUS 1498,H. Dimas Kuswoyo
CUS 1499,"H. Dipa Permata, S.Ked"
CUS 1500,H. Eja Pradipta
CUS 1501,"H. Endra Sitorus, S.Pt"
CUS 1502,H. Ganep Usada
CUS 1503,"H. Gangsa Purwanti, S.Pt"
CUS 1504,H. Hardi Tamba
CUS 1505,"H. Harimurti Mansur, S.Farm"
CUS 1506,"H. Harjaya Hariyah, S.Farm"
CUS 1507,H. Harjo Santoso
CUS 1508,"H. Harsanto Rahmawati, M.Farm"
CUS 1509,"H. Hartana Budiman, S.I.Kom"
CUS 1510,H. Himawan Wastuti
CUS 1511,H. Jaeman Utami
CUS 1512,"H. Jagaraga Haryanti, S.T."
CUS 1513,"H. Jasmani Budiyanto, M.Pd"
CUS 1514,"H. Kanda Anggraini, S.Gz"
CUS 1515,"H. Kawaca Maulana, S.Ked"
CUS 1516,H. Kayun Farida
CUS 1517,"H. Kayun Hariyah, S.Sos"
CUS 1518,"H. Kunthara Prayoga, M.M."
CUS 1519,H. Laksana Rahmawati
CUS 1520,H. Langgeng Prasetya
CUS 1521,"H. Lembah Prakasa, S.Gz"
CUS 1522,H. Maman Saefullah
CUS 1523,H. Martani Nugroho
CUS 1524,"H. Maryadi Kuswoyo, M.Kom."
CUS 1525,"H. Maryadi Saptono, S.E.I"
CUS 1526,"H. Muhammad Palastri, S.Ked"
CUS 1527,H. Mujur Wibisono
CUS 1528,H. Nasim Latupono
CUS 1529,H. Ozy Palastri
CUS 1530,"H. Raditya Lailasari, M.Pd"
CUS 1531,"H. Raharja Saefullah, S.Pd"
CUS 1532,H. Sakti Wahyuni
CUS 1533,"H. Taufan Suryatmi, M.Farm"
CUS 1534,H. Unggul Siregar
CUS 1535,"H. Vega Mardhiyah, S.Sos"
CUS 1536,"H. Wardaya Zulkarnain, S.Pd"
CUS 1537,Hadi Haryanti
CUS 1538,"Hadi Mardhiyah, S.Psi"
CUS 1539,Hadi Wibowo
CUS 1540,Hafshah Nainggolan
CUS 1541,"Hafshah Nurdiyanti, M.Pd"
CUS 1542,Hafshah Padmasari
CUS 1543,Hafshah Prakasa
CUS 1544,"Hafshah Santoso, S.T."
CUS 1545,Hafshah Simanjuntak
CUS 1546,Hafshah Sitorus
CUS 1547,Hafshah Situmorang
CUS 1548,Hairyanto Astuti
CUS 1549,"Hairyanto Pranowo, S.IP"
CUS 1550,Hairyanto Safitri
CUS 1551,Hairyanto Sinaga
CUS 1552,Hairyanto Tamba
CUS 1553,Halim Gunarto
CUS 1554,Halim Irawan
CUS 1555,Halim Lestari
CUS 1556,"Halim Nababan, S.T."
CUS 1557,"Halim Oktaviani, M.M."
CUS 1558,Halim Sinaga
CUS 1559,Halima Hartati
CUS 1560,Halima Januar
CUS 1561,Halima Maryadi
CUS 1562,Halima Mulyani
CUS 1563,Halima Mustofa
CUS 1564,Halima Nugroho
CUS 1565,Halima Prabowo
CUS 1566,Halima Puspasari
CUS 1567,Halima Rajasa
CUS 1568,Halima Tamba
CUS 1569,Hamima Anggriawan
CUS 1570,Hamima Aryani
CUS 1571,"Hamima Mahendra, S.E."
CUS 1572,"Hamima Mardhiyah, S.Sos"
CUS 1573,Hamima Megantara
CUS 1574,Hamima Nugroho
CUS 1575,Hamima Permadi
CUS 1576,Hamima Prabowo
CUS 1577,"Hamima Widiastuti, S.Farm"
CUS 1578,Hamima Wulandari
CUS 1579,"Hamzah Kuswandari, S.E.I"
CUS 1580,Hamzah Pradipta
CUS 1581,Hamzah Wijaya
CUS 1582,Hana Budiman
CUS 1583,Hana Gunawan
CUS 1584,"Hana Haryanti, M.M."
CUS 1585,Hana Kusmawati
CUS 1586,Hana Marbun
CUS 1587,"Hana Pratama, S.Pd"
CUS 1588,"Hana Sihotang, S.Kom"
CUS 1589,"Hana Tampubolon, S.E.I"
CUS 1590,"Hana Usada, M.Pd"
CUS 1591,Hani Firgantoro
CUS 1592,Hani Hidayat
CUS 1593,Hani Jailani
CUS 1594,Hani Januar
CUS 1595,Hani Mulyani
CUS 1596,"Hani Novitasari, S.E."
CUS 1597,"Hani Prasasta, S.E."
CUS 1598,Hani Setiawan
CUS 1599,Hardana Pudjiastuti
CUS 1600,Hardana Samosir
CUS 1601,Hardi Kuswandari
CUS 1602,Hardi Laksmiwati
CUS 1603,"Hari Uwais, M.Ak"
CUS 1604,"Harimurti Adriansyah, M.Ak"
CUS 1605,Harimurti Gunarto
CUS 1606,Harimurti Halim
CUS 1607,Harja Kurniawan
CUS 1608,Harja Nasyidah
CUS 1609,Harjasa Adriansyah
CUS 1610,"Harjasa Mangunsong, S.Kom"
CUS 1611,"Harjasa Maulana, S.Ked"
CUS 1612,Harjasa Nababan
CUS 1613,"Harjasa Saragih, S.Pd"
CUS 1614,Harjaya Anggraini
CUS 1615,Harjaya Nasyiah
CUS 1616,"Harjaya Putra, S.H."
CUS 1617,Harjo Zulkarnain
CUS 1618,"Harsana Prayoga, M.TI."
CUS 1619,Harsaya Oktaviani
CUS 1620,"Hartana Hartati, S.IP"
CUS 1621,Hartana Napitupulu
CUS 1622,Hartana Prastuti
CUS 1623,Hasan Dabukke
CUS 1624,Hasan Handayani
CUS 1625,Hasan Nashiruddin
CUS 1626,"Hasan Rahayu, S.Kom"
CUS 1627,Hasan Waskita
CUS 1628,Hasim Gunawan
CUS 1629,Hasim Kusumo
CUS 1630,Hasim Prasetyo
CUS 1631,Hasim Sinaga
CUS 1632,Hasim Tamba
CUS 1633,Hasna Hakim
CUS 1634,"Hasna Hutasoit, S.Sos"
CUS 1635,Hasna Mahendra
CUS 1636,Hasna Prabowo
CUS 1637,Hasna Pranowo
CUS 1638,Hasna Suartini
CUS 1639,Hasna Thamrin
CUS 1640,Hasta Marbun
CUS 1641,Hasta Zulaika
CUS 1642,"Hendra Astuti, S.E.I"
CUS 1643,Hendra Lazuardi
CUS 1644,"Hendra Suryono, S.Pd"
CUS 1645,"Hendri Putra, M.M."
CUS 1646,Hendri Thamrin
CUS 1647,Hendri Winarno
CUS 1648,Heru Hidayanto
CUS 1649,Heru Prasetyo
CUS 1650,Heru Simbolon
CUS 1651,"Heru Sirait, S.Kom"
CUS 1652,Heru Thamrin
CUS 1653,Heryanto Adriansyah
CUS 1654,Heryanto Hakim
CUS 1655,Hesti Ardianto
CUS 1656,Hesti Damanik
CUS 1657,Hesti Gunarto
CUS 1658,"Hesti Nasyiah, S.Psi"
CUS 1659,Hesti Simbolon
CUS 1660,Hilda Andriani
CUS 1661,Hilda Anggriawan
CUS 1662,"Hilda Haryanti, S.E.I"
CUS 1663,Hilda Iswahyudi
CUS 1664,Hilda Manullang
CUS 1665,Hilda Nainggolan
CUS 1666,Hilda Nurdiyanti
CUS 1667,"Hilda Nurdiyanti, S.Sos"
CUS 1668,Hilda Permata
CUS 1669,Hilda Sihombing
CUS 1670,Hilda Sitorus
CUS 1671,Hilda Winarsih
CUS 1672,Himawan Laksita
CUS 1673,Himawan Sitorus
CUS 1674,Himawan Widodo
CUS 1675,"Hj. Ajeng Haryanto, S.E.I"
CUS 1676,Hj. Ajeng Yuliarti
CUS 1677,"Hj. Alika Simbolon, M.Pd"
CUS 1678,"Hj. Amalia Damanik, S.E."
CUS 1679,"Hj. Amalia Sihombing, S.H."
CUS 1680,Hj. Aurora Napitupulu
CUS 1681,Hj. Ayu Gunarto
CUS 1682,Hj. Carla Suryatmi
CUS 1683,"Hj. Chelsea Sihombing, S.I.Kom"
CUS 1684,Hj. Cindy Sinaga
CUS 1685,Hj. Eka Gunawan
CUS 1686,"Hj. Eva Haryanto, S.Sos"
CUS 1687,Hj. Fitriani Suryatmi
CUS 1688,Hj. Gasti Adriansyah
CUS 1689,"Hj. Ika Hardiansyah, M.Farm"
CUS 1690,"Hj. Ira Lazuardi, S.Ked"
CUS 1691,Hj. Jessica Dabukke
CUS 1692,Hj. Kasiyah Lailasari
CUS 1693,Hj. Laras Setiawan
CUS 1694,"Hj. Latika Purwanti, S.Sos"
CUS 1695,Hj. Maimunah Marbun
CUS 1696,"Hj. Maimunah Nugroho, S.Kom"
CUS 1697,"Hj. Mala Kusmawati, S.T."
CUS 1698,Hj. Mala Salahudin
CUS 1699,Hj. Nabila Dongoran
CUS 1700,Hj. Nabila Sinaga
CUS 1701,Hj. Natalia Winarno
CUS 1702,Hj. Nova Pudjiastuti
CUS 1703,Hj. Novi Prayoga
CUS 1704,Hj. Oni Utama
CUS 1705,Hj. Ophelia Halim
CUS 1706,"Hj. Ophelia Mahendra, M.Ak"
CUS 1707,"Hj. Padmi Padmasari, S.Pd"
CUS 1708,"Hj. Paris Winarsih, S.IP"
CUS 1709,Hj. Pia Kusmawati
CUS 1710,"Hj. Puti Waskita, S.H."
CUS 1711,"Hj. Queen Waskita, S.I.Kom"
CUS 1712,"Hj. Raina Narpati, S.Pt"
CUS 1713,Hj. Shania Permata
CUS 1714,Hj. Siti Uwais
CUS 1715,"Hj. Suci Puspasari, S.E.I"
CUS 1716,"Hj. Talia Hardiansyah, S.Pt"
CUS 1717,"Hj. Talia Lailasari, S.Ked"
CUS 1718,"Hj. Tantri Susanti, S.E.I"
CUS 1719,Hj. Tiara Pratiwi
CUS 1720,Hj. Uli Hardiansyah
CUS 1721,"Hj. Vanya Anggriawan, S.Ked"
CUS 1722,"Hj. Victoria Anggriawan, S.Pt"
CUS 1723,"Hj. Yance Jailani, M.Pd"
CUS 1724,"Hj. Yulia Kusmawati, S.E.I"
CUS 1725,Hj. Zaenab Putra
CUS 1726,Humaira Adriansyah
CUS 1727,Humaira Ardianto
CUS 1728,Humaira Hariyah
CUS 1729,"Humaira Hariyah, S.Pt"
CUS 1730,Humaira Hidayat
CUS 1731,Humaira Permadi
CUS 1732,"Humaira Pertiwi, M.M."
CUS 1733,Humaira Sihotang
CUS 1734,Ian Anggraini
CUS 1735,Ian Sihombing
CUS 1736,Ibrahim Firgantoro
CUS 1737,"Ibrahim Mardhiyah, S.Pd"
CUS 1738,Ibrahim Widiastuti
CUS 1739,Ibrani Wacana
CUS 1740,Ibun Jailani
CUS 1741,Ibun Samosir
CUS 1742,Icha Januar
CUS 1743,"Icha Samosir, M.Kom."
CUS 1744,Icha Siregar
CUS 1745,Ida Kurniawan
CUS 1746,Ida Nababan
CUS 1747,Ida Prakasa
CUS 1748,Ida Rajata
CUS 1749,Ida Sitorus
CUS 1750,Ida Wasita
CUS 1751,Ida Wulandari
CUS 1752,Ifa Mulyani
CUS 1753,Ifa Nurdiyanti
CUS 1754,Ifa Pranowo
CUS 1755,"Ifa Pratama, S.Pd"
CUS 1756,Ifa Rajata
CUS 1757,"Ifa Safitri, S.I.Kom"
CUS 1758,Ihsan Mardhiyah
CUS 1759,Ihsan Namaga
CUS 1760,Ihsan Setiawan
CUS 1761,Ika Adriansyah
CUS 1762,"Ika Damanik, S.Gz"
CUS 1763,Ika Gunawan
CUS 1764,Ika Pradipta
CUS 1765,Ika Riyanti
CUS 1766,Ika Salahudin
CUS 1767,Ika Wibowo
CUS 1768,Ikhsan Kuswandari
CUS 1769,Ikin Adriansyah
CUS 1770,Ikin Firmansyah
CUS 1771,Ikin Mustofa
CUS 1772,"Ikin Prasasta, S.Pd"
CUS 1773,"Ilsa Aryani, S.T."
CUS 1774,Ilsa Mansur
CUS 1775,Ilsa Rajata
CUS 1776,Ilsa Saefullah
CUS 1777,"Ilsa Samosir, S.H."
CUS 1778,Ilsa Sitorus
CUS 1779,Ilsa Tamba
CUS 1780,Ilsa Thamrin
CUS 1781,Ilsa Wahyuni
CUS 1782,"Ilyas Marbun, S.Pt"
CUS 1783,Imam Laksita
CUS 1784,"Imam Thamrin, S.Pt"
CUS 1785,Ina Damanik
CUS 1786,Ina Santoso
CUS 1787,Ina Simbolon
CUS 1788,Ina Tarihoran
CUS 1789,Indah Fujiati
CUS 1790,Indah Kusumo
CUS 1791,Indah Nashiruddin
CUS 1792,Indah Novitasari
CUS 1793,Indah Pratiwi
CUS 1794,Indah Puspita
CUS 1795,Indah Suryono
CUS 1796,Indah Zulaika
CUS 1797,Indra Anggriawan
CUS 1798,Indra Hasanah
CUS 1799,"Indra Mandasari, M.Ak"
CUS 1800,Indra Mulyani
CUS 1801,"Indra Sinaga, S.E.I"
CUS 1802,"Intan Halimah, M.Pd"
CUS 1803,Intan Rahimah
CUS 1804,Intan Winarno
CUS 1805,"Ir. Ade Ramadan, S.H."
CUS 1806,Ir. Ade Uyainah
CUS 1807,"Ir. Ami Dongoran, S.Pd"
CUS 1808,"Ir. Anggabaya Putra, M.Kom."
CUS 1809,Ir. Bagas Fujiati
CUS 1810,Ir. Bakiman Palastri
CUS 1811,Ir. Bella Nuraini
CUS 1812,"Ir. Cahya Hassanah, S.E."
CUS 1813,Ir. Cahya Widiastuti
CUS 1814,"Ir. Caraka Yuniar, S.H."
CUS 1815,"Ir. Carla Permadi, S.T."
CUS 1816,Ir. Carla Prabowo
CUS 1817,"Ir. Caturangga Simbolon, S.Kom"
CUS 1818,"Ir. Chelsea Salahudin, S.T."
CUS 1819,Ir. Ciaobella Pranowo
CUS 1820,"Ir. Cornelia Maryati, M.Ak"
CUS 1821,"Ir. Danu Rahimah, S.E."
CUS 1822,Ir. Darmaji Dabukke
CUS 1823,"Ir. Devi Mandasari, S.Gz"
CUS 1824,Ir. Dina Permata
CUS 1825,"Ir. Eka Sihotang, M.Kom."
CUS 1826,"Ir. Endah Suwarno, M.Farm"
CUS 1827,Ir. Estiono Lailasari
CUS 1828,"Ir. Farah Manullang, S.Sos"
CUS 1829,Ir. Fitria Budiman
CUS 1830,"Ir. Fitriani Laksmiwati, S.Pd"
CUS 1831,"Ir. Galih Firmansyah, M.M."
CUS 1832,"Ir. Galiono Yuliarti, S.Kom"
CUS 1833,Ir. Gamanto Permadi
CUS 1834,"Ir. Garda Handayani, M.Farm"
CUS 1835,Ir. Gasti Hakim
CUS 1836,"Ir. Gilda Yuniar, M.Farm"
CUS 1837,"Ir. Halima Hakim, S.Farm"
CUS 1838,"Ir. Hana Manullang, S.Farm"
CUS 1839,"Ir. Harimurti Puspasari, S.Sos"
CUS 1840,"Ir. Heryanto Manullang, S.Kom"
CUS 1841,"Ir. Ibrahim Narpati, S.IP"
CUS 1842,Ir. Ifa Mahendra
CUS 1843,Ir. Ilsa Hakim
CUS 1844,"Ir. Ilsa Sihombing, S.H."
CUS 1845,Ir. Jaiman Wibisono
CUS 1846,Ir. Julia Hardiansyah
CUS 1847,Ir. Kamaria Narpati
CUS 1848,"Ir. Kamila Kusumo, M.Pd"
CUS 1849,Ir. Kani Nasyiah
CUS 1850,"Ir. Kani Tarihoran, S.Sos"
CUS 1851,"Ir. Karja Maryati, S.Farm"
CUS 1852,"Ir. Karsa Marpaung, S.Gz"
CUS 1853,Ir. Kawaya Nashiruddin
CUS 1854,"Ir. Kenari Halimah, M.M."
CUS 1855,Ir. Kenzie Mayasari
CUS 1856,"Ir. Kezia Prastuti, M.Pd"
CUS 1857,"Ir. Labuh Pradana, M.Ak"
CUS 1858,"Ir. Labuh Salahudin, M.Farm"
CUS 1859,Ir. Laras Namaga
CUS 1860,"Ir. Laras Rajata, S.Ked"
CUS 1861,Ir. Latika Utama
CUS 1862,"Ir. Legawa Sinaga, S.Sos"
CUS 1863,"Ir. Lili Waluyo, M.Farm"
CUS 1864,"Ir. Maras Laksita, S.Farm"
CUS 1865,"Ir. Melinda Saefullah, S.Farm"
CUS 1866,"Ir. Mulyono Mardhiyah, S.Pt"
CUS 1867,"Ir. Mustofa Utami, S.E."
CUS 1868,Ir. Nadine Salahudin
CUS 1869,Ir. Najib Najmudin
CUS 1870,Ir. Nyana Rajasa
CUS 1871,Ir. Oliva Hartati
CUS 1872,Ir. Olivia Salahudin
CUS 1873,Ir. Padma Anggriawan
CUS 1874,"Ir. Padma Halimah, S.I.Kom"
CUS 1875,Ir. Pandu Saefullah
CUS 1876,"Ir. Pangestu Waskita, S.Gz"
CUS 1877,Ir. Paramita Nababan
CUS 1878,Ir. Paramita Prastuti
CUS 1879,"Ir. Prabawa Marbun, S.IP"
CUS 1880,"Ir. Prayoga Safitri, S.IP"
CUS 1881,"Ir. Raden Widodo, S.Kom"
CUS 1882,Ir. Raina Budiman
CUS 1883,Ir. Restu Winarno
CUS 1884,Ir. Rina Hutapea
CUS 1885,"Ir. Sari Hidayanto, S.Sos"
CUS 1886,"Ir. Soleh Sitorus, S.Psi"
CUS 1887,Ir. Talia Purwanti
CUS 1888,"Ir. Tantri Kuswandari, S.E."
CUS 1889,"Ir. Tasdik Pratama, M.TI."
CUS 1890,"Ir. Taufan Winarno, M.Kom."
CUS 1891,Ir. Teguh Mandasari
CUS 1892,"Ir. Uli Dongoran, S.Gz"
CUS 1893,Ir. Uli Zulaika
CUS 1894,"Ir. Ulva Wahyuni, M.M."
CUS 1895,Ir. Utama Nuraini
CUS 1896,"Ir. Vanya Hassanah, S.E.I"
CUS 1897,"Ir. Viktor Irawan, M.M."
CUS 1898,Ir. Wani Pratiwi
CUS 1899,"Ir. Wawan Suryatmi, S.E.I"
CUS 1900,Ir. Wirda Rajata
CUS 1901,Ir. Wulan Hariyah
CUS 1902,Ir. Wulan Wahyudin
CUS 1903,"Ir. Zaenab Firgantoro, M.Kom."
CUS 1904,Ira Haryanto
CUS 1905,Ira Laksmiwati
CUS 1906,Ira Napitupulu
CUS 1907,"Ira Purwanti, S.E.I"
CUS 1908,"Ira Uwais, M.TI."
CUS 1909,Ira Winarno
CUS 1910,Ira Wulandari
CUS 1911,"Irfan Anggraini, S.I.Kom"
CUS 1912,Irfan Mandala
CUS 1913,Irfan Prasetya
CUS 1914,Iriana Kusumo
CUS 1915,Iriana Namaga
CUS 1916,Iriana Palastri
CUS 1917,Iriana Permadi
CUS 1918,Iriana Prasasta
CUS 1919,Iriana Puspita
CUS 1920,Iriana Rajasa
CUS 1921,Iriana Sihotang
CUS 1922,Iriana Suartini
CUS 1923,"Iriana Yulianti, S.E."
CUS 1924,Irma Budiman
CUS 1925,Irma Hutagalung
CUS 1926,"Irma Rajasa, S.E."
CUS 1927,Irma Setiawan
CUS 1928,Irma Sirait
CUS 1929,Irma Utama
CUS 1930,Irma Wacana
CUS 1931,"Irnanto Habibi, M.Ak"
CUS 1932,Irnanto Marpaung
CUS 1933,Irnanto Pangestu
CUS 1934,Irnanto Prabowo
CUS 1935,Irnanto Sudiati
CUS 1936,Irnanto Suryatmi
CUS 1937,Irnanto Suryono
CUS 1938,Irnanto Wahyudin
CUS 1939,"Irsad Maheswara, S.Farm"
CUS 1940,Irsad Sinaga
CUS 1941,Irwan Latupono
CUS 1942,Irwan Ramadan
CUS 1943,Ismail Gunarto
CUS 1944,Ismail Mahendra
CUS 1945,Ismail Maulana
CUS 1946,Ismail Prabowo
CUS 1947,Ismail Setiawan
CUS 1948,Ismail Yuliarti
CUS 1949,Ivan Prayoga
CUS 1950,"Jabal Halimah, S.Pt"
CUS 1951,Jabal Santoso
CUS 1952,Jaeman Maryadi
CUS 1953,Jaeman Wibowo
CUS 1954,Jaga Rajata
CUS 1955,Jaga Sudiati
CUS 1956,"Jaga Tarihoran, M.M."
CUS 1957,Jaga Widodo
CUS 1958,Jagapati Ardianto
CUS 1959,Jagapati Narpati
CUS 1960,Jagaraga Andriani
CUS 1961,Jagaraga Anggriawan
CUS 1962,Jagaraga Hartati
CUS 1963,Jagaraga Nuraini
CUS 1964,Jail Irawan
CUS 1965,"Jail Maryadi, S.Gz"
CUS 1966,"Jail Oktaviani, S.E."
CUS 1967,Jail Purwanti
CUS 1968,Jail Waskita
CUS 1969,Jaiman Marpaung
CUS 1970,Jaiman Nugroho
CUS 1971,Jaiman Purnawati
CUS 1972,"Jais Hasanah, S.Sos"
CUS 1973,Jais Hidayat
CUS 1974,Jais Purwanti
CUS 1975,Jaka Maulana
CUS 1976,Jamal Nugroho
CUS 1977,Jamal Purwanti
CUS 1978,Jamalia Anggraini
CUS 1979,Jamalia Lestari
CUS 1980,Jamalia Maheswara
CUS 1981,Jamalia Nuraini
CUS 1982,Jamalia Samosir
CUS 1983,Jamalia Simanjuntak
CUS 1984,Jamalia Yuniar
CUS 1985,Jamil Napitupulu
CUS 1986,Jane Gunawan
CUS 1987,Jane Hidayat
CUS 1988,Jane Nugroho
CUS 1989,"Jane Nurdiyanti, S.Pd"
CUS 1990,Jane Oktaviani
CUS 1991,"Jane Permadi, M.Farm"
CUS 1992,Jane Purwanti
CUS 1993,Jane Rahayu
CUS 1994,Jane Saefullah
CUS 1995,"Jane Uwais, M.Kom."
CUS 1996,Jane Wastuti
CUS 1997,Janet Kuswandari
CUS 1998,Janet Maheswara
CUS 1999,Janet Nababan
CUS 2000,"Janet Prasasta, S.Psi"
CUS 2001,Jarwa Laksita
CUS 2002,Jarwa Safitri
CUS 2003,Jarwadi Hakim
CUS 2004,Jarwadi Namaga
CUS 2005,Jarwadi Palastri
CUS 2006,Jarwadi Saputra
CUS 2007,Jarwi Lestari
CUS 2008,Jarwi Permata
CUS 2009,Jarwi Siregar
CUS 2010,"Jasmani Firgantoro, S.E."
CUS 2011,Jasmani Halim
CUS 2012,Jasmin Haryanti
CUS 2013,Jasmin Hastuti
CUS 2014,"Jasmin Latupono, S.Pd"
CUS 2015,Jasmin Mangunsong
CUS 2016,Jasmin Prabowo
CUS 2017,"Jasmin Rajata, M.M."
CUS 2018,"Jasmin Saputra, S.Kom"
CUS 2019,Jasmin Sihombing
CUS 2020,Jasmin Sirait
CUS 2021,"Jaswadi Hidayanto, S.I.Kom"
CUS 2022,Jaswadi Prabowo
CUS 2023,Jaswadi Saragih
CUS 2024,Jaswadi Sudiati
CUS 2025,Jaswadi Wahyuni
CUS 2026,Jati Sinaga
CUS 2027,Jati Wastuti
CUS 2028,Jatmiko Aryani
CUS 2029,Jatmiko Nashiruddin
CUS 2030,Jatmiko Samosir
CUS 2031,Jatmiko Saragih
CUS 2032,Jatmiko Wijaya
CUS 2033,Jaya Hastuti
CUS 2034,Jaya Latupono
CUS 2035,Jaya Mulyani
CUS 2036,Jaya Safitri
CUS 2037,Jaya Tarihoran
CUS 2038,Jaya Wacana
CUS 2039,Jaya Wibowo
CUS 2040,Jayadi Hidayanto
CUS 2041,"Jayadi Maryadi, S.T."
CUS 2042,Jayadi Pradipta
CUS 2043,"Jayadi Rahmawati, M.Farm"
CUS 2044,Jayeng Firgantoro
CUS 2045,Jayeng Mahendra
CUS 2046,Jefri Adriansyah
